Code	Description	T0_0	T0_1	T1_0	T1_1	T2_0	T2_1	T3_0	T3_1	T4_0	T4_1	T5_0	T5_1	T6_0	T6_1	T7_0	T7_1	T8_0	T8_1	T9_0	T9_1	T10_0	T10_1	T11_0	T11_1	T12_0	T12_1	T13_0	T13_1	T14_0	T14_1	T15_0	T15_1	Column1	
	NZCIDV: ++++++	A	A	A	A + 1	A + 1	A + 1	A + 1	A + 1	A + 1	A + 1	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x41	EOR (ind,X)	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d and X	Load d+X to AL	Finish Cycle	Put out AR 	Read Low Addr	Next AR	Read High Addr	Put out Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																				
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/AR_OUT_EN	/AR_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: (indirect,X)		/OE_iDB		/OE_X	/OE_ALU			/OE_iDB		/OE_iDB		/OE_A	/OE_ALU_NZ	/OE_iDB																				
	Bytes: 2  Cycles: 6  Operand: byte		/LD_IR		/LD_ALU_AB	/LD_AR_ZP			/LD_AL		/LD_AR_H		/LD_ALU_AB	/LD_A	/LD_IR																				
	NZCIDV: ++----	A	A	A	A + B	A + B	A	A	A	A	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x42		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x43		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x44		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x45	EOR zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Store result, PC out	Fetch Instruction Code																										
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: zeropage		/OE_iDB		/OE_iDB	/OE_A		/OE_ALU_NZ	/OE_iDB																										
	Bytes: 2  Cycles: 3  Operand: byte		/LD_IR		/LD_AR_ZP	/LD_ALU_A	/LD_ALU_B	/LD_A	/LD_IR																										
	NZCIDV: ++----	A	A	A	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x46	LSR zpg	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read d	Put out AR addr	Read ZP location	Put out AR addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																						
	Shift One Bit Right (Memory or Accumulator)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: zeropage		/OE_iDB		/OE_iDB		/OE_iDB		/OE_ALU_SH				/OE_iDB																						
	Bytes: 2  Cycles: 5  Operand: byte		/LD_IR		/LD_AR_ZP		/LD_ALU_A						/LD_IR																						
	NZCIDV: 0++---	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x47		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x48	PHA	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Init SP decrement	Load SP-1 to AL	Write SR to Stack	Put out PC Addr	Fetch Instruction Code																										
	Push Accumulator on Stack	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/SP_OUT_EN	/SP_OUT_EN_WR	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: implied		/OE_iDB		/OE_SP	/OE_ALU	/OE_A		/OE_iDB																										
	Bytes: 1  Cycles: 3  Operand: 		/LD_IR		/LD_ALU_A	/LD_SP*	/LD_SP		/LD_IR																										
	NZCIDV: ------	A	A	A	A - 1	A - 1	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x49	EOR #	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read #	Store result, PC out	Fetch Instruction Code																												
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: immediate		/OE_iDB		/OE_A	/OE_ALU_NZ	/OE_iDB																												
	Bytes: 2  Cycles: 2  Operand: byte		/LD_IR		/LD_ALU_AB	/LD_A	/LD_IR																												
	NZCIDV: ++----	A	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4A	LSR A	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Get A	Store result, PC out	Fetch Instruction Code																												
	Shift One Bit Right (Memory or Accumulator)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: accumulator		/OE_iDB		/OE_A	/OE_ALU_SH	/OE_iDB																												
	Bytes: 1  Cycles: 2  Operand: 		/LD_IR		/LD_ALU_A	/LD_A	/LD_IR																												
	NZCIDV: 0++---	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4B		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4C	JMP abs	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Low addr	Put out next addr	Read High addr	Put out PC Addr	Fetch Instruction Code																										
	Jump to New Location	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: absolute		/OE_iDB		/OE_iDB		/OE_iDB		/OE_iDB																										
	Bytes: 3  Cycles: 3  Operand: word		/LD_IR		/LD_AL		/LD_PC_H		/LD_IR																										
	NZCIDV: ------	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4D	EOR abs	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Store result, PC out	Fetch Instruction Code																								
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: absolute		/OE_iDB		/OE_iDB		/OE_iDB		/OE_A	/OE_ALU_NZ	/OE_iDB																								
	Bytes: 3  Cycles: 4  Operand: word		/LD_IR		/LD_AL		/LD_AR_H		/LD_ALU_AB	/LD_A	/LD_IR																								
	NZCIDV: ++----	A	A	A	A	A	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4E	LSR abs	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read low addr	Next addr	Read high addr	Put out absolute addr	Read data	Put out absolute addr	Write Result	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
	Shift One Bit Right (Memory or Accumulator)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN_WR	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: absolute		/OE_iDB		/OE_iDB		/OE_iDB		/OE_iDB		/OE_ALU_SH				/OE_iDB																				
	Bytes: 3  Cycles: 6  Operand: word		/LD_IR		/LD_AL		/LD_AR_H		/LD_ALU_A						/LD_IR																				
	NZCIDV: 0++---	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x4F		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x50	BVC rel	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read r, Set Cond	Put out PC Addr	Load PC	Put out PC Addr	Update PCH	Put out PC Addr	Fetch Instruction Code																								
	Branch on Overflow Clear (branch on V = 0)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: relative		/OE_iDB		/OE_PC_L_BR	/OE_ALU	/OE_PC_H	/OE_PC_H	/OE_ALU		/OE_iDB																								
	Bytes: 2  Cycles: 2**  Operand: sbyte		/LD_IR		/LD_ALU_AB	/LD_AL	/LD_PC_H	/LD_ALU_A	/LD_PC_H		/LD_IR																								
	NZCIDV: ------	A	A	A	A + B	A + B	A	A + 1	A + 1	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x51	EOR (ind),Y	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read operand	Put out ZP addr	Read Low Addr	Next ZP addr	Read High Addr	Data Addr	Read Data	Store result, PC out	Fetch Instruction Code																						
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN++	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: (indirect),Y		/OE_iDB		/OE_iDB		/OE_Y	/OE_ALU_FDCY	/OE_iDB		/OE_A	/OE_ALU_NZ	/OE_iDB																						
	Bytes: 2  Cycles: 5*  Operand: byte		/LD_IR		/LD_AR_ZP		/LD_ALU_AB	/LD_AL	/LD_AR_H		/LD_ALU_AB	/LD_A	/LD_IR																						
	NZCIDV: ++----	A	A	A	A	A	A + B	A + B	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x52		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C02)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x53		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x54		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
	(P65C816)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
			/OE_iDB																																
	    		/LD_IR																																
		A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x55	EOR zpg,X	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Store result, PC out	Fetch Instruction Code																								
	Exclusive-OR Memory with Accumulator	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: zeropage,X		/OE_iDB		/OE_X	/OE_ALU			/OE_A	/OE_ALU_NZ	/OE_iDB																								
	Bytes: 2  Cycles: 4  Operand: byte		/LD_IR		/LD_ALU_AB	/LD_AR_ZP			/LD_ALU_AB	/LD_A	/LD_IR																								
	NZCIDV: ++----	A	A	A	A + B	A + B	A	A	A ^ B	A ^ B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x56	LSR zpg,X	Put out PC Addr	Fetch Instruction Code	Decode Instruction	Read Operand	Get ZP Addr	Finish Cycle	Data Addr Out	Read Data	Data Addr Out	Write Data	dummy	dummy	Put out PC Addr	Fetch Instruction Code																				
	Shift One Bit Right (Memory or Accumulator)	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN	/AR_OUT_EN_WR	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN++	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN	/PC_OUT_EN		
	Addr-Mode: zeropage,X		/OE_iDB		/OE_X	/OE_ALU			/OE_iDB		/OE_ALU_SH				/OE_iDB																				
	Bytes: 2  Cycles: 6  Operand: byte		/LD_IR		/LD_ALU_AB	/LD_AR_ZP			/LD_ALU_A						/LD_IR																				
	NZCIDV: 0++---	A	A	A	A + B	A + B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A		
																																			
0x57		Put out PC Addr	Fetch Instruction Code	Decode Instruction																															
